"uuid","base","orgao_julgador","data_julgamento","harm_type","award_ementa","award_any","award_brl_human","award_role_human","harm_type_human","notes"
"01249c5e-f58a-4adf-8304-1b779bafbf80","acordaos","TERCEIRA TURMA RECURSAL",2024-03-18,"credit_listing",NA,NA,NA,NA,NA,NA
"060a794f-ab33-4f5e-ae6c-d93f265e5117","acordaos","1ª TURMA CÍVEL",2024-03-20,"other",NA,5000,NA,NA,NA,NA
"13b8a78a-2d2e-4605-bf68-78cffabb5f1b","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"state_liability",3000,3000,NA,NA,NA,NA
"18296f0e-a750-4b7e-ba78-8c1e7356296c","acordaos","SEGUNDA TURMA RECURSAL",2024-03-18,"consumer_service",2000,2000,NA,NA,NA,NA
"21045100-ddaa-46a9-94cb-ce07c5fff251","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-01,"medical",1000,1000,NA,NA,NA,NA
"26482c99-3c50-4b49-b21c-b8d27bd77694","acordaos","1ª TURMA CÍVEL",2024-03-06,"other",NA,NA,NA,NA,NA,NA
"26cb4472-b91f-478e-a2d7-25347836ccaa","acordaos","4ª TURMA CÍVEL",2024-03-20,"medical",NA,10000,NA,NA,NA,NA
"27225f0e-0ee6-4059-8656-a5cdeae184d2","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-01,"honor_privacy",NA,NA,NA,NA,NA,NA
"2ab0628e-e53c-468e-bb65-978d3bbf99ca","acordaos","4ª TURMA CÍVEL",2024-03-14,"other",NA,NA,NA,NA,NA,NA
"2c38aceb-44b9-443a-9abf-2b2d80041cc6","acordaos","SEGUNDA TURMA RECURSAL",2024-03-18,"consumer_service",NA,NA,NA,NA,NA,NA
"2f61fb8f-7569-4fe7-b3db-0c23b2589b30","acordaos","1ª TURMA CRIMINAL",2024-03-25,"wrongful_death",NA,NA,NA,NA,NA,NA
"34683f77-5361-4579-902e-8b40bacd4782","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"other",3000,3000,NA,NA,NA,NA
"368f84ed-8de9-4b7b-bbbe-a66dfd717b7e","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"consumer_service",NA,NA,NA,NA,NA,NA
"374a9400-6f1b-41e2-bf65-3a687d78e571","acordaos","1ª TURMA CÍVEL",2024-03-13,"medical",NA,NA,NA,NA,NA,NA
"3889738e-d259-42fe-8034-1150cf39bb42","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"medical",NA,NA,NA,NA,NA,NA
"39950766-2c69-44b7-b863-5a7316666280","acordaos","SEGUNDA TURMA RECURSAL",2024-03-18,"other",NA,NA,NA,NA,NA,NA
"3f20b23c-e04f-45c0-a95c-de2c33fbb0b1","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"other",NA,NA,NA,NA,NA,NA
"49593b1a-6bd2-458f-9fda-f149019841d0","acordaos","2ª TURMA CÍVEL",2024-03-06,"other",10000,10000,NA,NA,NA,NA
"4e33a1a1-2439-48d6-945b-b3f25b51069a","acordaos","4ª TURMA CÍVEL",2024-03-07,"other",NA,NA,NA,NA,NA,NA
"50c928b5-124d-4065-8d2f-44d62bd4b407","acordaos","3ª TURMA CÍVEL",2024-03-14,"other",NA,5000,NA,NA,NA,NA
"52f44998-b792-4a6e-9c8a-e7a5cc02ed6a","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"other",NA,NA,NA,NA,NA,NA
"53bfee81-ee22-4305-bd5f-b3571d006ad6","acordaos","TERCEIRA TURMA RECURSAL",2024-03-18,"other",5000,5000,NA,NA,NA,NA
"54839d66-487d-4653-9a01-99c0fad2d27a","acordaos","6ª TURMA CÍVEL",2024-03-06,"credit_listing",3000,3000,NA,NA,NA,NA
"6369822b-20ac-4436-becd-a5281955ebfe","acordaos","7ª TURMA CÍVEL",2024-03-06,"consumer_service",NA,NA,NA,NA,NA,NA
"6fc6eba3-82af-4aba-aae4-a718f579146e","acordaos","6ª TURMA CÍVEL",2024-03-26,"honor_privacy",NA,20000,NA,NA,NA,NA
"701ef804-249b-495a-a0cc-86572c8701f0","acordaos","TERCEIRA TURMA RECURSAL",2024-03-18,"consumer_service",2000,2000,NA,NA,NA,NA
"76230879-59fb-48e4-b5ce-702960fb5d7f","acordaos","8ª TURMA CÍVEL",2024-03-05,"credit_listing",NA,20000,NA,NA,NA,NA
"793cccf1-d19d-4681-8ca8-0878abcbb987","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"banking_fraud",NA,NA,NA,NA,NA,NA
"79708922-c8aa-4e32-b0d8-4cb7beea252e","acordaos","6ª TURMA CÍVEL",2024-03-13,"consumer_service",NA,5000,NA,NA,NA,NA
"7f5343ae-1d59-464e-ac29-c849d4481aea","acordaos","1ª TURMA CÍVEL",2024-03-13,"medical",NA,12295.74,NA,NA,NA,NA
"7fb17f50-06a6-41ed-903d-7b88565b843e","acordaos","SEGUNDA TURMA RECURSAL",2024-03-18,"credit_listing",NA,NA,NA,NA,NA,NA
"811aac4b-e53b-45d4-8d28-9a331841b77b","acordaos","5ª TURMA CÍVEL",2024-03-14,"credit_listing",10000,10000,NA,NA,NA,NA
"892c2ae8-c8da-4ff9-aaf9-193723e501af","acordaos","SEGUNDA TURMA RECURSAL",2024-03-04,"consumer_service",NA,NA,NA,NA,NA,NA
