"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"00d542e0-a193-41bd-9ecc-abeb004c6a38","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,6,3,4,2000,2000,"consumer_service"
"0111962d-cb7c-4832-8db6-7aa8d0406920","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,10,5,10,4000,4000,"credit_listing"
"01249c5e-f58a-4adf-8304-1b779bafbf80","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,2,1,2,NA,NA,"credit_listing"
"024b556e-4c20-4011-9567-0eb616e1d9d3","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,12,6,10,3000,3000,"medical"
"0254050b-3577-4bbd-8495-6ed71aff3a55","acordaos","acordaos",417,"3ª TURMA CRIMINAL","f41922db99",2024-03-07,5,0,4,NA,1000,"other"
"02a79c64-059b-4468-aa39-0768b0dd82a7","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,6,3,4,NA,NA,"banking_fraud"
"02a9d314-db80-4163-95e8-7b326ba63c05","acordaos","acordaos",198,"6ª TURMA CÍVEL","0915b060c7",2024-03-26,5,0,1,NA,10000,"honor_privacy"
"02d9b263-0522-401b-a0ef-b36484b0ce1a","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","c6e9121773",2024-03-01,13,3,9,2000,2000,"consumer_service"
"03115177-74e2-4cfc-bf0a-91703a7ee12c","acordaos","acordaos",198,"3ª TURMA CÍVEL","8e30f54e7a",2024-03-07,6,0,4,NA,5000,"medical"
"035906a8-a1cc-48f0-8b8f-084a4bb2ba26","acordaos","acordaos",198,"4ª TURMA CÍVEL","dc185fdca3",2024-03-06,8,0,1,NA,NA,"banking_fraud"
"03ad661e-c2ad-47a0-a1ee-a21503a4ffb7","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-18,10,5,6,25000,25000,"credit_listing"
"04a49fe2-f586-4762-ae29-6d42fd20e954","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,17,7,14,5000,2000,"wrongful_death"
"04d2175c-5c4c-406f-84ec-baa39fd19e0b","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","5e0c5ae3c3",2024-03-04,4,2,4,2000,2000,"consumer_service"
"04ed1a3c-b2a5-4389-90f7-7710e730c1b8","acordaos","acordaos",1689,"1ª TURMA CÍVEL","c540fdb8bf",2024-03-20,6,0,2,NA,NA,"banking_fraud"
"05d65ffc-3f2c-4def-9b50-69649207079c","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-01,6,3,2,NA,NA,"other"
"060a794f-ab33-4f5e-ae6c-d93f265e5117","acordaos","acordaos",198,"1ª TURMA CÍVEL","c540fdb8bf",2024-03-20,39,0,7,NA,5000,"other"
"06a748a8-a645-4051-9e0a-4483b672452e","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-04,4,2,2,2000,2000,"credit_listing"
"06b0879d-0436-4047-a058-f748fe18083d","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-01,8,4,4,NA,NA,"other"
"07d0c4aa-d772-4e78-8582-a1c90634212f","acordaos","acordaos",198,"6ª TURMA CÍVEL","9f4ca60681",2024-03-20,2,0,0,NA,NA,"other"
"07eae545-d6af-43d2-81aa-416db91efed8","acordaos","acordaos",417,"3ª TURMA CRIMINAL","f41922db99",2024-03-14,3,0,1,NA,1000,"other"
"08b254b4-f077-47c2-ace6-8badd157f205","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,20,10,8,5000,5000,"credit_listing"
"08c2ca88-58ed-4fe5-988e-9b8a248be989","acordaos","acordaos-tr",1689,"TERCEIRA TURMA RECURSAL","a0f8949691",2024-03-18,0,NA,NA,NA,NA,"other"
"08d860b1-5890-480c-90c4-5944f6399ba9","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","a0f8949691",2024-03-18,6,3,2,NA,NA,"other"
"0959e3b1-c4fb-40b6-b40a-03dcff8b3791","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","249fd17014",2024-03-18,6,1,5,NA,5000,"medical"
"098fca10-d803-4042-a56c-1100aa851559","acordaos","acordaos",1689,"1ª TURMA CÍVEL","c540fdb8bf",2024-03-21,0,NA,NA,NA,NA,"medical"
"09abaa26-473b-4d39-ac2e-1cd713e2f935","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,34,17,10,4000,4000,"banking_fraud"
"09ecade7-f393-45ba-a0e9-53a2d6cad4d1","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","a0f8949691",2024-03-18,0,NA,NA,NA,NA,"medical"
"0a10a430-2f51-4c08-b37a-0a733d42f70e","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,6,3,2,NA,NA,"consumer_service"
"0a45162f-8804-4e0d-ada3-890aa0b42744","acordaos","acordaos",198,"1ª TURMA CÍVEL","3d2279fc77",2024-03-06,4,0,3,NA,NA,"medical"
"0a8c17a0-0f5e-4089-a527-f60cfbfc88b3","acordaos","acordaos",198,"6ª TURMA CÍVEL","9f4ca60681",2024-03-13,14,0,7,NA,5000,"air_travel"
"0ae58d0a-1896-42ed-bc6d-f4bf46dfe1c4","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-04,8,4,4,1000,1000,"credit_listing"
"0b0ff62a-fd05-4cd2-aebb-8e3fd8fb952d","acordaos","acordaos",417,"1ª TURMA CRIMINAL","662aeab684",2024-03-14,4,0,4,NA,NA,"other"
"0bb56bbd-3dad-41aa-ac9d-5a5dd45963fd","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-01,2,1,2,NA,NA,"other"
"0c03d126-99a8-40dd-980f-b63bbd44491a","acordaos","acordaos",198,"1ª TURMA CÍVEL","3d2279fc77",2024-03-20,7,0,1,NA,NA,"honor_privacy"
"0ce14427-ac83-4e4c-a604-3dc5ff71291a","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","ef7646018c",2024-03-26,6,3,2,NA,NA,"other"
"0d34f4e6-15aa-45d0-8284-2d4360ea3021","acordaos","acordaos",198,"8ª TURMA CÍVEL","bdca023e1d",2024-03-05,11,0,1,NA,NA,"wrongful_death"
"0d471c61-95be-43a0-acc4-3894ea0d253b","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-01,8,4,6,3000,3000,"other"
"0d51f194-27b6-4289-bdd3-725cfa19b7cd","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,10,5,4,NA,NA,"medical"
"0da7a990-63bc-474f-a4d4-ff0a5775ad99","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,4,2,4,NA,NA,"medical"
"0dc4e838-cec3-4eb9-b60f-f20fa00b70d8","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","ef7646018c",2024-03-01,2,1,2,NA,NA,"credit_listing"
"0e2f27bb-75a8-4512-b05d-66e5764d9b42","acordaos","acordaos",198,"8ª TURMA CÍVEL","bdca023e1d",2024-03-12,6,0,0,NA,NA,"honor_privacy"
"0e5a28c2-601b-44be-b4cf-88a54b217817","acordaos","acordaos-tr",1689,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,2,1,0,NA,NA,"banking_fraud"
"0ef25eb2-100a-4d92-b0d3-818e7e39a70d","acordaos","acordaos",198,"5ª TURMA CÍVEL","8a4888bf5e",2024-03-06,2,0,1,NA,NA,"credit_listing"
"0f00ea11-5c7b-422c-b023-6c1ad350f280","acordaos","acordaos",198,"1ª TURMA CÍVEL","3d2279fc77",2024-03-06,3,0,3,NA,30000,"air_travel"
"0f24bc86-07a9-4f04-84c4-4c13a3455d77","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","5e0c5ae3c3",2024-03-18,0,NA,NA,NA,NA,"consumer_service"
"0f41bbba-155c-4b0b-b9d0-1e4c395f8370","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,12,6,4,10425.19,10425.19,"credit_listing"
"0f9c6af0-2178-4635-bc16-03584549d8c7","acordaos","acordaos",417,"2ª TURMA CRIMINAL","875abf85dd",2024-03-25,12,2,11,500,500,"wrongful_death"
"0ffe2f2e-dd96-4691-9ead-da17073e7fa1","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,4,2,0,NA,NA,"air_travel"
"1092f8cc-621c-442a-8657-cc2e6b453f1a","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,10,5,8,2000,2000,"air_travel"
"109b2bc7-f50a-45e8-9333-322afe759864","acordaos","acordaos",198,"6ª TURMA CÍVEL","07312dd681",2024-03-20,10,0,3,NA,20000,"wrongful_death"
"10a8c198-a07a-465d-9a09-167aa7a2c596","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,10,5,6,NA,NA,"consumer_service"
"10f33475-bc06-4e59-a01e-78134671db7e","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,8,4,6,NA,NA,"other"
"113581b4-1378-4e2e-b92b-285782df2f1d","acordaos","acordaos",417,"1ª TURMA CRIMINAL","e48f5e14a5",2024-03-07,3,0,3,NA,400,"other"
"1230ed03-7a04-4b8a-b5a2-977167e60b4b","acordaos","acordaos",202,"6ª TURMA CÍVEL","07312dd681",2024-03-06,2,0,2,NA,5000,"other"
"125f6177-d957-4b27-8085-a691d3e2f835","acordaos","acordaos",198,"3ª TURMA CÍVEL","f0c2fc1313",2024-03-07,7,1,7,5000,5000,"other"
"1272e863-c054-45e0-902f-cf8a7fa61077","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,8,4,8,4000,4000,"air_travel"
"1280dac9-415b-4136-950a-8c28cbf3b9d9","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","592078c0d0",2024-03-04,14,7,4,5000,5000,"air_travel"
