"section","role","moral","Freq"
"ementa","claimed","FALSE",46
"inteiro_teor","claimed","FALSE",221
"ementa","exclude_case_val","FALSE",1
"inteiro_teor","exclude_case_val","FALSE",22
"ementa","exclude_fees","FALSE",20
"inteiro_teor","exclude_fees","FALSE",174
"ementa","exclude_fine","FALSE",47
"inteiro_teor","exclude_fine","FALSE",199
"ementa","exclude_material","FALSE",135
"inteiro_teor","exclude_material","FALSE",433
"ementa","first_instance","FALSE",58
"inteiro_teor","first_instance","FALSE",190
"ementa","fixed","FALSE",76
"inteiro_teor","fixed","FALSE",320
"ementa","increased","FALSE",24
"inteiro_teor","increased","FALSE",69
"ementa","reduced","FALSE",17
"inteiro_teor","reduced","FALSE",65
"ementa","unknown","FALSE",284
"inteiro_teor","unknown","FALSE",1060
"ementa","claimed","TRUE",46
"inteiro_teor","claimed","TRUE",268
"inteiro_teor","exclude_case_val","TRUE",8
"ementa","exclude_fees","TRUE",1
"inteiro_teor","exclude_fees","TRUE",104
"ementa","exclude_fine","TRUE",21
"inteiro_teor","exclude_fine","TRUE",80
"ementa","exclude_material","TRUE",236
"inteiro_teor","exclude_material","TRUE",453
"ementa","first_instance","TRUE",175
"inteiro_teor","first_instance","TRUE",453
"ementa","fixed","TRUE",200
"inteiro_teor","fixed","TRUE",657
"ementa","increased","TRUE",32
"inteiro_teor","increased","TRUE",123
"ementa","reduced","TRUE",45
"inteiro_teor","reduced","TRUE",143
"ementa","unknown","TRUE",67
"inteiro_teor","unknown","TRUE",183
